HHIDPN,RAGENDER,RARACEM,RAEDYRS,RAEVBRN
12280030.0,1.0,1.0,17.0,0.0
12285010.0,2.0,1.0,17.0,4.0
12292010.0,2.0,1.0,14.0,4.0
12292020.0,1.0,1.0,13.0,4.0
12302010.0,1.0,1.0,14.0,0.0
12306010.0,2.0,1.0,9.0,3.0
12310010.0,1.0,1.0,12.0,1.0
12310011.0,2.0,3.0,16.0,0.0
12315010.0,1.0,1.0,7.0,2.0
12315040.0,2.0,1.0,12.0,2.0
12318010.0,2.0,1.0,9.0,4.0
12319010.0,2.0,1.0,12.0,1.0
12323010.0,2.0,1.0,12.0,7.0
12332030.0,1.0,1.0,12.0,0.0
12344010.0,1.0,1.0,16.0,2.0
12344020.0,2.0,1.0,16.0,2.0
12345020.0,2.0,1.0,12.0,0.0
12345030.0,1.0,1.0,17.0,3.0
12393020.0,2.0,2.0,14.0,1.0
12393030.0,1.0,2.0,14.0,3.0
12394010.0,2.0,2.0,10.0,6.0
12398010.0,1.0,2.0,11.0,
12401010.0,1.0,2.0,14.0,1.0
12401040.0,2.0,2.0,17.0,0.0
12405010.0,1.0,2.0,12.0,3.0
12417010.0,1.0,2.0,14.0,0.0
12418020.0,2.0,2.0,12.0,0.0
12418030.0,1.0,2.0,12.0,2.0
12424010.0,2.0,1.0,12.0,5.0
12443010.0,1.0,2.0,12.0,5.0
12443040.0,2.0,2.0,14.0,4.0
12445010.0,2.0,2.0,13.0,4.0
12445040.0,1.0,2.0,12.0,4.0
12455010.0,2.0,2.0,14.0,7.0
12458010.0,1.0,2.0,12.0,
12458020.0,2.0,2.0,14.0,0.0
12474010.0,1.0,3.0,15.0,4.0
12474040.0,2.0,3.0,12.0,2.0
12479010.0,1.0,1.0,16.0,0.0
12481010.0,2.0,3.0,14.0,0.0
12481011.0,2.0,3.0,16.0,1.0
12483010.0,1.0,3.0,12.0,4.0
12484010.0,2.0,2.0,6.0,3.0
12484020.0,1.0,2.0,12.0,3.0
12488010.0,1.0,1.0,9.0,
12494010.0,1.0,1.0,12.0,1.0
12494040.0,2.0,1.0,13.0,0.0
12496010.0,1.0,3.0,17.0,3.0
12496020.0,2.0,,,3.0
12502010.0,2.0,1.0,12.0,4.0
12502011.0,1.0,1.0,12.0,0.0
12502020.0,1.0,1.0,12.0,4.0
12507010.0,2.0,1.0,17.0,0.0
12510010.0,1.0,1.0,17.0,4.0
12510020.0,2.0,1.0,16.0,4.0
12512010.0,1.0,1.0,17.0,1.0
12512020.0,2.0,1.0,17.0,1.0
12513010.0,1.0,1.0,6.0,3.0
12513020.0,2.0,1.0,14.0,2.0
12514010.0,1.0,3.0,17.0,1.0
12514040.0,2.0,3.0,16.0,1.0
12516010.0,1.0,1.0,12.0,2.0
12516040.0,2.0,1.0,12.0,2.0
12520010.0,2.0,1.0,14.0,3.0
12520040.0,1.0,1.0,10.0,3.0
12529020.0,2.0,1.0,17.0,1.0
12529030.0,1.0,1.0,17.0,1.0
12532010.0,2.0,1.0,12.0,2.0
12543010.0,2.0,1.0,16.0,0.0
12549010.0,1.0,1.0,14.0,3.0
12549011.0,2.0,1.0,14.0,0.0
12549040.0,2.0,3.0,16.0,0.0
12552010.0,2.0,3.0,17.0,
12552020.0,1.0,3.0,17.0,
12553010.0,1.0,1.0,17.0,3.0
12562010.0,2.0,1.0,14.0,3.0
12562011.0,1.0,1.0,14.0,2.0
12571010.0,1.0,1.0,16.0,
12571020.0,2.0,1.0,16.0,4.0
12573010.0,2.0,1.0,14.0,2.0
12573011.0,1.0,1.0,12.0,4.0
12574010.0,1.0,1.0,16.0,3.0
12574020.0,2.0,1.0,10.0,3.0
12576010.0,2.0,1.0,16.0,
12586010.0,1.0,1.0,14.0,2.0
12586020.0,2.0,1.0,15.0,2.0
12588010.0,2.0,1.0,17.0,2.0
12588020.0,1.0,1.0,17.0,2.0
12596010.0,1.0,1.0,16.0,2.0
12596040.0,2.0,1.0,12.0,3.0
12605010.0,1.0,2.0,12.0,4.0
12605040.0,2.0,2.0,12.0,5.0
12605041.0,1.0,2.0,12.0,3.0
12611010.0,1.0,2.0,11.0,7.0
12611020.0,2.0,2.0,12.0,8.0
12629010.0,2.0,3.0,15.0,1.0
12629011.0,1.0,1.0,12.0,2.0
